ID          artist                   title                                   error
91092377    Seether                  I've Got You Under My Skin              Your account can't stream the track from your current country and no alternative found.
784673      Paramore                 Misery Business (Acoustic Version)      Your account can't stream the track from your current country and no alternative found.
66190281    Avril Lavigne            Here's To Never Growing Up              Track not found at desired bitrate and no alternative found!
481655272   Yellowcard               Transmission Home                       Your account can't stream the track from your current country and no alternative found.
9581200     Gary Jules               Mad World                               Track not found at desired bitrate and no alternative found!
358917871   Papa Roach               Bleeding Through                        Your account can't stream the track from your current country and no alternative found.
1100608052  ASIAN KUNG-FU GENERATION Haruka Kanata                           Your account can't stream the track from your current country and no alternative found.
4303104     Train                    Hey, Soul Sister                        Track not found at desired bitrate and no alternative found!
77890482    Udit Narayan             Jaane Kyon Log Pyar                     Track not found at desired bitrate and no alternative found!
63425355    Linkin Park              A Thousand Suns: The Full Experience    Your account can't stream the track from your current country and no alternative found.
93658136    Kryptos                  The Revenant                            Your account can't stream the track from your current country and no alternative found.
93658132    Kryptos                  Heretic Supreme                         Your account can't stream the track from your current country and no alternative found.
505864452   いとうかなこ               Hacking to the Gate (symphonic ver.)    Your account can't stream the track from your current country and no alternative found.
790076622   Buckcherry               Sorry                                   Your account can't stream the track from your current country and no alternative found.
71839005    Lindsey Stirling         Elements (Orchestral Remix)             Your account can't stream the track from your current country and no alternative found.
133188368   Young Guns               You Are Not                             Your account can't stream the track from your current country and no alternative found.
129281450   Devour the Day           Quicksand                               Your account can't stream the track from your current country and no alternative found.
127748565   Hit The Lights           Earthquake                              Your account can't stream the track from your current country and no alternative found.
14617087    Mayday Parade            The Memory                              Your account can't stream the track from your current country and no alternative found.
107537472   Taylor Phelan            Sweater Weather (The Voice Performance) Your account can't stream the track from your current country and no alternative found.
